,MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs
2G3339631+0006229,2G3339631+0006229,333.9631,0.0623,0.18,0.63,0.44,0.54,0.23,133,121,0.72,0.28,0.32,R,,1G333963+000644,G333.962+00.063,,,Simbad,245.6309,-49.6517
2G0509727+0007641,2G0509727+0007641,50.9728,0.0764,1.45,10.62,9.25,9.96,1.13,66,120,0.49,0.14,0.38,R,,1G050955+001074,G051.010+00.060,7.2,N107,Simbad,291.2372,16.0355
2G0131880+0003775,2G0131880+0003775,13.1881,0.0377,0.5,1.4,1.19,1.3,0.33,33,111,0.53,0.15,0.33,R,,1G013189+000428,G013.186+00.042,,N10,Simbad,273.5302,-17.4787
2G0435246-0064704,2G0435246-0064704,43.5246,-0.6471,0.38,0.44,0.39,0.42,0.2,9,153,0.49,0.17,0.19,R,,1G043523-006486,G043.523-00.648,8.3,,Simbad,288.3147,9.1165
2G0430398-0044099,2G0430398-0044099,43.0399,-0.441,0.18,0.55,0.43,0.5,0.15,25,76,0.63,0.14,0.15,R,,1G043039-004430,G043.040-00.445,,,Simbad,287.9026,8.7824
2G0082602-0044345,2G0082602-0044345,8.2603,-0.4435,0.35,0.92,0.8,0.86,0.26,36,106,0.5,0.16,0.28,R,,1G008258-004429,G008.250-00.440,,CN110,Simbad,271.4463,-22.0252
2G0288010+0017290,2G0288010+0017290,28.8011,0.1729,0.12,0.6,0.54,0.57,0.13,170,74,0.45,0.19,0.62,R,,1G028801+001734,G028.801+00.170,8.2,,Simbad,280.8192,-3.5967
2G0513575+0001985,2G0513575+0001985,51.3575,0.0199,1.14,2.94,1.62,2.37,0.54,33,68,0.83,,0.13,C,,,,,,Simbad,291.4791,16.3473
2G0195864-0005056,2G0195864-0005056,19.5864,-0.0506,0.06,0.48,0.43,0.46,0.06,59,102,0.41,0.25,0.37,R,,1G019588-000480,G019.588-00.049,,N26,Simbad,276.7314,-11.8782
2G3142149+0034135,2G3142149+0034135,314.215,0.3413,0.25,1.19,0.79,1.01,0.24,111,136,0.75,0.29,0.37,R,,1G314216+003417,G314.219+00.343,,S117,Simbad,216.2439,-60.465
2G0140012-0014003,2G0140012-0014003,14.0012,-0.14,0.33,0.99,0.77,0.89,0.25,172,86,0.63,0.29,0.06,R,,1G013992-001288,G013.992-00.131,,N14,Simbad,274.0995,-16.8488
2G3434810-0004398,2G3434810-0004398,343.4811,-0.044,0.22,1.96,1.21,1.63,0.23,75,95,0.79,0.19,0.35,R,,1G343478-000364,G343.480-00.043,,S17,Simbad,254.8505,-42.579
2G0303030+0004086,2G0303030+0004086,30.3031,0.0409,0.14,0.4,0.35,0.38,0.09,31,72,0.47,0.17,0.19,R,,1G030303+000444,G030.303+00.041,7.3,,Simbad,281.6237,-2.3208
2G0306206-0062732,2G0306206-0062732,30.6207,-0.6273,1.93,5.05,3.84,4.48,1.38,25,112,0.65,0.24,0.48,R,,1G030613-006253,G030.613-00.617,,,Simbad,282.3638,-2.343
2G0587650+0065427,2G0587650+0065427,58.765,0.6543,0.25,0.85,0.76,0.8,0.24,24,123,0.45,0.27,0.25,R,,1G058766+006541,G058.769+00.648,4.4,N125,Simbad,294.6898,23.141
2G0341633+0014499,2G0341633+0014499,34.1633,0.145,0.49,2.86,2.41,2.64,0.38,70,145,0.54,0.2,0.51,R,,1G034164+001462,G034.158+00.147,,N61,Simbad,283.292,1.162
2G0538194-0006169,2G0538194-0006169,53.8195,-0.0617,0.3,0.91,0.7,0.81,0.33,19,104,0.63,0.1,0.11,C,,,G053.822-00.057,5.0,,Simbad,292.7877,18.4708
2G0291175+0009285,2G0291175+0009285,29.1175,0.0929,0.11,0.22,0.13,0.18,0.11,178,85,0.82,0.13,0.11,R,,,G029.117+00.091,,,Simbad,281.0353,-3.3518
2G3040214+0044881,2G3040214+0044881,304.0214,0.4488,0.38,1.05,0.78,0.92,0.38,11,101,0.67,0.4,0.35,R,,1G304021+004503,G304.021+00.450,,S162,Simbad,195.2118,-62.403
2G0184420+0001217,2G0184420+0001217,18.4421,0.0122,0.05,0.28,0.2,0.24,0.03,172,97,0.73,,0.28,C,,,G018.441+00.013,,,Simbad,276.1277,-12.8609
2G3368789+0000037,2G3368789+0000037,336.8789,0.0004,0.06,0.26,0.21,0.23,0.04,52,93,0.59,0.18,0.31,R,,,G336.879+00.000,,S39,Simbad,248.7463,-47.586
2G0495731-0027082,2G0495731-0027082,49.5732,-0.2708,0.09,0.3,0.22,0.27,0.09,4,92,0.67,0.1,0.26,R,D,1G049573-002712,G049.573-00.272,,,Simbad,290.8675,14.6383
2G0137285-0001699,2G0137285-0001699,13.7285,-0.017,0.58,4.11,3.96,4.04,0.57,83,75,0.27,0.23,0.58,R,,1G013733-000160,G013.725-00.024,,N12,Simbad,273.8507,-17.03
2G0554436+0088760,2G0554436+0088760,55.4436,0.8876,0.15,0.59,0.54,0.57,0.26,16,94,0.42,0.43,0.49,R,,1G055445+008879,G055.442+00.886,,N121,Simbad,292.7333,20.3512
2G3336031-0000891,2G3336031-0000891,333.6031,-0.0089,0.32,0.49,0.35,0.43,0.12,26,83,0.71,0.03,0.12,C,,1G333603-000099,G333.603-00.009,,,Simbad,245.3145,-49.9566
2G0119536-0004049,2G0119536-0004049,11.9536,-0.0405,0.58,0.61,0.5,0.56,0.32,176,102,0.56,0.17,0.2,R,,1G011949-000353,,,,Simbad,272.9797,-18.5995
2G3234490+0009811,2G3234490+0009811,323.4491,0.0981,0.44,1.21,0.95,1.09,0.42,16,101,0.62,0.05,0.11,C,,1G323450+000978,G323.449+00.095,,,Simbad,232.1352,-56.3824
2G3294734+0037459,2G3294734+0037459,329.4735,0.3746,0.06,0.26,0.19,0.23,0.04,162,117,0.67,0.16,0.24,R,,1G329474+003750,G329.472+00.373,,,Simbad,240.0621,-52.485
